address,cat,cug,district,email,equip,est,landline,lat,lng,name,pincode
"No.17, Rukmani Lakshmipathy Salai, Egmore, Chennai - 600008",A,9445086001,Chennai,,"Command Central Vehicle, Bronto 104m",,044-28554101,13.0674,80.2598,Chennai City (HQ),600008
"Rukmani Lakshmipathy Salai, Egmore, Chennai",A,9445086012,Chennai,,"54m ALP, Water Bowser",,044-28551101,13.0732,80.2605,Egmore,600008
"NSC Bose Road, Esplanade, Chennai",A,9445086012,Chennai,,"54m ALP, Foam Tender",,044-25360101,13.0891,80.2854,Esplanade,600001
"State Bank Road, Gopalapuram, Coimbatore",A,9445086306,Coimbatore,,"54m ALP, Rescue Tender",,0422-2300101,10.9986,76.9684,Coimbatore South,641018
"Rajakoor, Madurai",A,9445086210,Madurai,,"37m Bronto, Advanced Rescue Kit",,0452-2335399,9.9252,78.1198,Madurai South,625020
"Cantonment, Trichy",A,9445086304,Tiruchirappalli,,"54m ALP, Chemical Tender",,0431-2410101,10.805,78.6856,Trichy Cantonment,620001
"Fire Station Road, Vellore Town",B,9445086737,Vellore,so.vellorestation1.tnfrs@tn.gov.in,"Standard Fire Tender, Hydraulic Tools",1978,044-2302101,12.4738,77.296,Vellore Station 1,64240
"Fire Station Road, Erode Town",B,9445086978,Erode,so.erodestation1.tnfrs@tn.gov.in,"Standard Fire Tender, Hydraulic Tools",1959,048-2582101,12.3079,77.1402,Erode Station 1,60124
"Fire Station Road, Thoothukudi Town",B,9445086281,Thoothukudi,so.thoothukudistation1.tnfrs@tn.gov.in,"Standard Fire Tender, Hydraulic Tools",1953,045-2448101,10.8064,76.0183,Thoothukudi Station 1,62495
"Fire Station Road, Tiruppur Town",B,9445086813,Tiruppur,so.tiruppurstation1.tnfrs@tn.gov.in,"Standard Fire Tender, Hydraulic Tools",2011,044-2717101,11.5676,78.2184,Tiruppur Station 1,61332
"Fire Station Road, Kancheepuram Town",B,9445086990,Kancheepuram,so.kancheepuramstation1.tnfrs@tn.gov.in,"Standard Fire Tender, Hydraulic Tools",1996,049-2733101,11.9247,77.0357,Kancheepuram Station 1,61181
"Fire Station Road, Chengalpattu Town",B,9445086802,Chengalpattu,so.chengalpattustation1.tnfrs@tn.gov.in,"Standard Fire Tender, Hydraulic Tools",1968,042-2703101,12.982,78.3391,Chengalpattu Station 1,64741
